aha,anagram_id,estimate,rt,subject_id,tpe
5.0,66,2.9699999999999998,0.10715000000000001,28.0,2.86285
6.0,65,1.95,0.19101666666666667,29.0,1.7589833333333333
5.0,91,1.98,0.23143333333333335,29.0,1.7485666666666666
6.0,42,2.01,0.2630166666666667,29.0,1.746983333333333
6.0,37,1.47,0.4353166666666667,29.0,1.0346833333333334
6.0,19,1.3499999999999999,0.18143333333333336,29.0,1.1685666666666665
6.0,20,1.77,0.14675,30.0,1.62325
4.0,95,2.1600000000000006,0.8846333333333334,30.0,1.275366666666667
5.0,76,1.8599999999999999,0.12418333333333334,30.0,1.7358166666666668
5.0,43,2.31,0.35383333333333333,30.0,1.9561666666666666
6.0,4,2.3399999999999994,0.13983333333333334,30.0,2.2001666666666666
4.0,55,0.32999999999999996,0.15151666666666666,31.0,0.1784833333333333
0.0,3,0.0,0.053849999999999995,31.0,-0.053849999999999995
0.0,66,0.0,0.05796666666666667,31.0,-0.05796666666666667
4.0,98,0.23999999999999996,0.23858333333333331,31.0,0.0014166666666666514
0.0,26,0.09,0.05931666666666667,32.0,0.030683333333333323
1.0,99,0.18,0.13118333333333335,32.0,0.04881666666666664
0.0,8,0.05999999999999999,0.06051666666666667,32.0,-0.0005166666666666763
1.0,59,0.05999999999999999,0.07185,32.0,-0.011850000000000005
1.0,60,0.11999999999999998,0.12305,32.0,-0.003050000000000012
2.0,33,1.5,0.5938666666666667,33.0,0.9061333333333333
0.0,15,0.4799999999999999,0.07445,33.0,0.40554999999999997
1.0,44,1.98,0.09153333333333333,33.0,1.8884666666666665
2.0,69,0.9599999999999999,0.17161666666666667,33.0,0.7883833333333333
3.0,2,0.9599999999999999,0.15423333333333333,34.0,0.8057666666666666
4.0,21,0.42,0.04763333333333333,34.0,0.3723666666666666
5.0,91,3.0,0.31193333333333334,34.0,2.6880666666666664
4.0,21,0.21,0.052250000000000005,35.0,0.15775
5.0,95,0.9599999999999999,0.7493666666666667,35.0,0.21063333333333317
4.0,79,0.4799999999999999,0.19711666666666666,35.0,0.2828833333333333
2.0,44,0.99,0.13351666666666667,35.0,0.8564833333333333
1.0,1,0.18,0.05741666666666667,35.0,0.12258333333333331
6.0,19,0.4799999999999999,0.08118333333333334,36.0,0.3988166666666666
6.0,63,0.9599999999999999,0.2997166666666667,36.0,0.6602833333333332
5.0,31,0.9599999999999999,0.4971666666666667,36.0,0.4628333333333332
6.0,86,0.9599999999999999,0.8382666666666666,36.0,0.12173333333333325
6.0,53,0.9599999999999999,0.3701166666666667,36.0,0.5898833333333332
4.0,41,0.44999999999999996,0.23813333333333334,37.0,0.2118666666666666
0.0,75,2.52,1.9810666666666668,37.0,0.538933333333333
3.0,36,0.99,0.3187333333333333,37.0,0.6712666666666666
0.0,83,3.0,1.0565833333333334,37.0,1.9434166666666666
5.0,11,0.23999999999999996,0.08111666666666667,37.0,0.1588833333333333
3.0,39,0.42,0.11201666666666667,38.0,0.30798333333333333
